DriverNumber,BroadcastName,TeamName,Position,GridPosition,Time,Status,Q1,Q2,Q3
1,M VERSTAPPEN,Red Bull Racing,1.0,1.0,01:30:58.421,Finished,1:29.878,1:29.964,1:28.877
4,L NORRIS,McLaren,2.0,3.0,01:31:17.808,Finished,1:30.063,1:30.296,1:29.493
81,O PIASTRI,McLaren,3.0,2.0,01:31:54.302,Finished,1:30.439,1:30.122,1:29.458
16,C LECLERC,Ferrari,4.0,4.0,01:32:38.300,Finished,1:30.393,1:29.940,1:29.542
44,L HAMILTON,Mercedes,5.0,7.0,01:33:27.676,Finished,1:30.811,1:30.040,1:29.908
55,C SAINZ,Ferrari,6.0,6.0,01:34:17.897,Finished,1:30.651,1:30.067,1:29.850
63,G RUSSELL,Mercedes,7.0,8.0,01:35:15.556,Finished,1:30.811,1:30.268,1:30.219
14,F ALONSO,Aston Martin,8.0,10.0,01:36:30.281,Finished,1:30.971,1:30.465,1:30.560
31,E OCON,Alpine,9.0,14.0,01:37:49.959,Finished,1:30.960,1:30.586,0:00.000
10,P GASLY,Alpine,10.0,12.0,01:39:13.114,Finished,1:30.843,1:30.509,0:00.000
40,L LAWSON,RB,11.0,11.0,01:39:16.203,Lapped,1:30.425,1:30.508,0:00.000
22,Y TSUNODA,RB,12.0,9.0,01:39:20.177,Lapped,1:30.733,1:30.204,1:30.303
24,G ZHOU,Kick Sauber,13.0,19.0,01:39:26.517,Lapped,1:31.398,0:00.000,0:00.000
27,N HULKENBERG,Haas F1 Team,14.0,18.0,01:39:36.115,Lapped,1:31.299,0:00.000,0:00.000
20,K MAGNUSSEN,Haas F1 Team,15.0,15.0,01:40:05.685,Lapped,1:30.976,1:30.665,0:00.000
23,A ALBON,Williams,16.0,13.0,00:00.000000,Retired,1:30.941,1:30.537,0:00.000
2,L SARGEANT,Williams,17.0,20.0,00:00.000000,Retired,DNF,0:00.000,0:00.000
18,L STROLL,Aston Martin,18.0,17.0,00:00.000000,Retired,1:31.181,0:00.000,0:00.000
11,S PEREZ,Red Bull Racing,19.0,5.0,00:00.000000,Retired,1:30.652,1:29.965,1:29.650
77,V BOTTAS,Kick Sauber,20.0,16.0,00:00.000000,Retired,1:31.049,0:00.000,0:00.000
